,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t4,페르난데스,2021,6,3,0,0,0,0,0,5,0,0,22,0,65,6,5,0.4090909090909091,0.5454545454545454
t6,페르난데스,2021,3,1,0,0,0,5,1,1,0,0,15,0,74,8,5,0.47619047619047616,0.3333333333333333
t7,페르난데스,2021,7,0,0,0,0,6,0,0,0,0,17,0,88,4,5,0.5652173913043478,0.4117647058823529
t8,페르난데스,2021,7,0,0,1,0,0,0,2,1,0,22,0,74,5,5,0.36363636363636365,0.5
t9,페르난데스,2021,4,2,0,1,1,3,0,1,3,0,17,0,75,4,5,0.5238095238095238,0.7058823529411765
t10,페르난데스,2021,4,0,0,1,0,4,0,1,1,0,17,0,70,5,5,0.42857142857142855,0.47058823529411764
t11,페르난데스,2021,10,1,0,0,1,1,0,1,1,0,20,0,90,4,5,0.5909090909090909,0.6
t12,페르난데스,2021,5,1,0,0,1,1,0,0,2,0,17,0,84,6,5,0.42105263157894735,0.4117647058823529
t13,페르난데스,2021,7,0,0,2,0,2,0,1,1,0,21,0,85,5,5,0.4782608695652174,0.7142857142857143
t14,페르난데스,2021,8,2,0,0,0,1,0,1,1,0,23,0,61,7,5,0.4583333333333333,0.5217391304347826
t15,페르난데스,2021,7,0,0,1,0,5,1,0,2,0,20,0,80,4,5,0.5384615384615384,0.55
t16,페르난데스,2021,7,0,0,1,0,2,0,0,1,0,21,0,96,4,5,0.43478260869565216,0.5238095238095238
t17,페르난데스,2021,8,0,0,2,0,1,0,1,3,0,21,0,71,6,5,0.5,0.7619047619047619
t18,페르난데스,2021,6,3,0,0,0,2,0,1,2,0,22,0,80,5,5,0.4583333333333333,0.5454545454545454
t1,최원준,2021,9,1,0,1,0,0,0,0,2,0,24,2,82,4,5,0.4583333333333333,0.625
t2,최원준,2021,4,2,0,0,0,3,0,0,1,0,20,0,74,7,5,0.391304347826087,0.4
t3,최원준,2021,4,0,0,1,0,5,0,1,0,0,17,3,98,6,5,0.45454545454545453,0.47058823529411764
t4,최원준,2021,4,0,0,0,0,1,0,1,5,1,22,1,77,5,5,0.20833333333333334,0.18181818181818182
t5,최원준,2021,5,1,0,0,0,0,0,0,3,0,23,1,79,10,5,0.2608695652173913,0.30434782608695654
