,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t7,최형우,2018,4,2,0,1,1,1,0,1,1,0,15,0,68,4,5,0.5294117647058824,0.8
t8,최형우,2018,14,5,0,2,1,3,0,1,2,0,22,1,103,5,5,0.9615384615384616,1.4545454545454546
t9,최형우,2018,4,1,0,0,0,4,2,2,4,0,16,0,78,5,5,0.5,0.375
t10,최형우,2018,3,0,0,1,1,0,0,0,6,0,21,0,99,5,5,0.22727272727272727,0.3333333333333333
t11,최형우,2018,4,0,0,2,0,2,0,0,4,0,21,0,92,5,5,0.34782608695652173,0.5714285714285714
t12,최형우,2018,5,0,0,1,0,4,0,0,3,0,19,0,95,4,5,0.43478260869565216,0.47368421052631576
t13,최형우,2018,8,1,0,2,0,1,1,0,2,0,21,0,76,5,5,0.5652173913043478,0.8571428571428571
t14,최형우,2018,5,2,0,1,0,3,0,1,5,0,17,0,101,6,5,0.55,0.7647058823529411
t15,최형우,2018,7,1,0,1,1,2,0,1,5,0,19,1,110,7,5,0.5454545454545454,0.6842105263157895
t16,최형우,2018,7,3,0,1,0,2,0,0,1,0,16,0,76,6,5,0.7222222222222222,1.0625
t17,최형우,2018,5,2,0,0,0,2,1,1,2,0,19,0,81,6,5,0.45454545454545453,0.47368421052631576
t18,최형우,2018,7,2,0,0,1,3,1,1,2,0,18,0,86,5,5,0.6086956521739131,0.6111111111111112
t19,최형우,2018,4,1,0,1,1,0,0,0,5,0,18,0,94,5,5,0.3684210526315789,0.5555555555555556
t20,최형우,2018,5,1,0,0,0,3,0,0,2,0,16,0,72,4,5,0.47368421052631576,0.4375
t21,최형우,2018,7,3,0,1,0,3,0,0,4,0,16,0,77,4,5,0.7368421052631579,1.0625
t22,최형우,2018,6,2,0,2,0,1,0,0,4,0,20,0,75,6,5,0.5238095238095238,0.9
t23,최형우,2018,8,1,0,0,0,0,0,2,1,0,22,0,67,6,5,0.4090909090909091,0.45454545454545453
t24,최형우,2018,7,1,0,0,0,1,0,2,1,0,18,0,74,5,5,0.47368421052631576,0.5
